team_id,season,blup,pipeline
CHC,2025,0.12427,v2_strip_park_frozen
CIN,2015,0.21185,v2_strip_park_frozen
CIN,2016,0.13522,v2_strip_park_frozen
CIN,2017,-0.05996,v2_strip_park_frozen
CIN,2018,-0.00877,v2_strip_park_frozen
CIN,2019,0.03121,v2_strip_park_frozen
CIN,2020,-0.1679,v2_strip_park_frozen
CIN,2021,-0.19696,v2_strip_park_frozen
CIN,2022,-0.16132,v2_strip_park_frozen
CIN,2023,-0.09491,v2_strip_park_frozen
CIN,2024,-0.04822,v2_strip_park_frozen
CIN,2025,0.10395,v2_strip_park_frozen
CLE,2015,-0.01943,v2_strip_park_frozen
CLE,2016,0.0328,v2_strip_park_frozen
CLE,2017,0.01113,v2_strip_park_frozen
CLE,2018,-0.12011,v2_strip_park_frozen
CLE,2019,-0.04302,v2_strip_park_frozen
CLE,2020,-0.06227,v2_strip_park_frozen
CLE,2021,0.03278,v2_strip_park_frozen
CLE,2022,0.16638,v2_strip_park_frozen
CLE,2023,0.08608,v2_strip_park_frozen
CLE,2024,0.0836,v2_strip_park_frozen
CLE,2025,-0.06961,v2_strip_park_frozen
COL,2015,0.00242,v2_strip_park_frozen
COL,2016,0.12838,v2_strip_park_frozen
COL,2017,0.05949,v2_strip_park_frozen
COL,2018,0.00108,v2_strip_park_frozen
COL,2019,0.14111,v2_strip_park_frozen
COL,2020,0.06204,v2_strip_park_frozen
COL,2021,0.02477,v2_strip_park_frozen
COL,2022,0.10782,v2_strip_park_frozen
COL,2023,-0.00588,v2_strip_park_frozen
COL,2024,0.11719,v2_strip_park_frozen
COL,2025,-0.12735,v2_strip_park_frozen
CWS,2015,-0.11287,v2_strip_park_frozen
CWS,2016,-0.05222,v2_strip_park_frozen
CWS,2017,0.05353,v2_strip_park_frozen
CWS,2018,-0.01901,v2_strip_park_frozen
CWS,2019,-0.08607,v2_strip_park_frozen
CWS,2020,0.13231,v2_strip_park_frozen
CWS,2021,-0.05125,v2_strip_park_frozen
CWS,2022,-0.12357,v2_strip_park_frozen
CWS,2023,-0.10302,v2_strip_park_frozen
CWS,2024,-0.17901,v2_strip_park_frozen
CWS,2025,0.11143,v2_strip_park_frozen
DET,2015,-0.17774,v2_strip_park_frozen
DET,2016,-0.25562,v2_strip_park_frozen
DET,2017,-0.11495,v2_strip_park_frozen
